employee_id,role,department,skills,experience_years,performance_score
Employee_30,Workforce Analyst,People Analytics,"Change management, Data visualization, HRIS data, SQL, Statistics, Talent analytics",10,4.4
Employee_31,Data Engineer,Data Platform,"API integration, Cloud architecture, Data governance, MLOps, Python, SQL",10,3.4
Employee_32,Workforce Analyst,People Analytics,"Change management, Data visualization, Experiment design, HRIS data, SQL, Talent analytics, Workforce planning",3,3.4
Employee_33,Data Engineer,Data Platform,"API integration, Data governance, MLOps, Python, SQL",10,3.9
Employee_34,Workforce Analyst,People Analytics,"Change management, Data visualization, Experiment design, Python, SQL, Talent analytics, Workforce planning",11,3.6
Employee_35,ML Engineer,AI Platform,"API integration, Cloud architecture, Data governance, LLM evaluation, Model monitoring, Python, Responsible AI",6,4.8
Employee_36,Data Engineer,Data Platform,"API integration, Cloud architecture, Data governance, Data visualization, MLOps, Model monitoring, Python, SQL",4,3.9
Employee_37,AI Risk Lead,Risk & Compliance,"AI risk compliance, Data governance, LLM evaluation, Stakeholder management, Vendor management",5,4.6
Employee_38,Data Engineer,Data Platform,"Cloud architecture, Data governance, Data visualization, MLOps, Model monitoring, Python, SQL",11,3.5
Employee_39,Data Scientist,Advanced Analytics,"Experiment design, GenAI orchestration, LLM evaluation, Machine learning, NLP, SQL, Statistics",9,4.5
Employee_40,AI Product Owner,Strategy & Transformation,"Change management, GenAI orchestration, Product strategy, Stakeholder management",11,4.7
Employee_41,Data Engineer,Data Platform,"API integration, Cloud architecture, Data governance, Data visualization, MLOps, Model monitoring, Python, SQL",3,4.7
Employee_42,PromptOps Specialist,AI Enablement,"API integration, Change management, LLM evaluation, Model monitoring",9,4.2
Employee_43,AI Risk Lead,Risk & Compliance,"Data governance, LLM evaluation, Prompt governance, Vendor management",11,3.7
Employee_44,AI Governance Manager,Risk & Compliance,"Change management, Data governance, Product strategy, Responsible AI, Vendor management",11,3.7
Employee_45,AI Risk Lead,Risk & Compliance,"AI risk compliance, Data governance, Responsible AI, Vendor management",9,4.5
Employee_46,ML Engineer,AI Platform,"Cloud architecture, LLM evaluation, MLOps, Model monitoring, Python, Responsible AI",4,3.4
Employee_47,AI Governance Manager,Risk & Compliance,"Change management, Data governance, Product strategy, Responsible AI, Vendor management",11,4.0
Employee_48,AI Risk Lead,Risk & Compliance,"Data governance, LLM evaluation, Stakeholder management, Vendor management",3,4.5
